"Vel:0","Vel:1","Vel:2","Press","T",":0",":1",":2"
-0.00017784,2.7714e-06,0,-0.054221,274.02,0.0006,0.0001,0
-0.00018159,-6.3026e-07,0,-0.053828,273.95,0.0007,0.0001,0
-0.00018004,-2.6626e-06,0,-0.053483,273.91,0.0008,0.0001,0
-0.00017531,-3.707e-06,0,-0.053186,273.88,0.0009,0.0001,0
-0.00016893,-4.1057e-06,0,-0.052933,273.85,0.001,0.0001,0
-0.00016189,-4.1164e-06,0,-0.052717,273.84,0.0011,0.0001,0
-0.00015482,-3.9145e-06,0,-0.052531,273.83,0.0012,0.0001,0
-0.00014806,-3.6103e-06,0,-0.052369,273.82,0.0013,0.0001,0
-0.00014178,-3.2697e-06,0,-0.052227,273.81,0.0014,0.0001,0
-0.00013606,-2.9291e-06,0,-0.052101,273.81,0.0015,0.0001,0
-0.0001309,-2.6077e-06,0,-0.051986,273.8,0.0016,0.0001,0
-0.00012627,-2.314e-06,0,-0.05188,273.8,0.0017,0.0001,0
-0.00012214,-2.0509e-06,0,-0.051783,273.8,0.0018,0.0001,0
-0.00011845,-1.818e-06,0,-0.051691,273.79,0.0019,0.0001,0
-0.00011517,-1.6135e-06,0,-0.051604,273.79,0.002,0.0001,0
-0.00011225,-1.4347e-06,0,-0.05152,273.78,0.0021,0.0001,0
-0.00010963,-1.2789e-06,0,-0.05144,273.78,0.0022,0.0001,0
-0.00010729,-1.143e-06,0,-0.051363,273.77,0.0023,0.0001,0
-0.0001052,-1.0246e-06,0,-0.051287,273.77,0.0024,0.0001,0
-0.00010331,-9.2096e-07,0,-0.051214,273.77,0.0025,0.0001,0
-0.00010161,-8.299e-07,0,-0.051142,273.76,0.0026,0.0001,0
-0.00010008,-7.4933e-07,0,-0.051072,273.76,0.0027,0.0001,0
-9.8692e-05,-6.7743e-07,0,-0.051002,273.75,0.0028,0.0001,0
-9.7439e-05,-6.126e-07,0,-0.050934,273.75,0.0029,0.0001,0
-9.6307e-05,-5.5349e-07,0,-0.050867,273.75,0.003,0.0001,0
-9.5285e-05,-4.99e-07,0,-0.050801,273.74,0.0031,0.0001,0
-9.4367e-05,-4.4824e-07,0,-0.050736,273.74,0.0032,0.0001,0
-9.3544e-05,-4.0061e-07,0,-0.050671,273.73,0.0033,0.0001,0
-9.2812e-05,-3.5572e-07,0,-0.050608,273.73,0.0034,0.0001,0
-9.2165e-05,-3.1337e-07,0,-0.050544,273.73,0.0035,0.0001,0
-9.1599e-05,-2.736e-07,0,-0.050482,273.72,0.0036,0.0001,0
-9.1107e-05,-2.3653e-07,0,-0.05042,273.72,0.0037,0.0001,0
-9.0685e-05,-2.0243e-07,0,-0.050359,273.71,0.0038,0.0001,0
-9.0326e-05,-1.7158e-07,0,-0.050298,273.71,0.0039,0.0001,0
-9.0023e-05,-1.4426e-07,0,-0.050237,273.71,0.004,0.0001,0
-8.977e-05,-1.2064e-07,0,-0.050177,273.7,0.0041,0.0001,0
-8.9558e-05,-1.0081e-07,0,-0.050117,273.7,0.0042,0.0001,0
-8.9382e-05,-8.4676e-08,0,-0.050057,273.7,0.0043,0.0001,0
-8.9233e-05,-7.1945e-08,0,-0.049998,273.69,0.0044,0.0001,0
-8.9105e-05,-6.2145e-08,0,-0.049939,273.69,0.0045,0.0001,0
-8.8994e-05,-5.4617e-08,0,-0.04988,273.68,0.0046,0.0001,0
-8.8896e-05,-4.8553e-08,0,-0.049821,273.68,0.0047,0.0001,0
-8.8808e-05,-4.3036e-08,0,-0.049762,273.68,0.0048,0.0001,0
-8.873e-05,-3.7104e-08,0,-0.049704,273.67,0.0049,0.0001,0
-8.8663e-05,-2.9808e-08,0,-0.049645,273.67,0.005,0.0001,0
-8.8612e-05,-2.0279e-08,0,-0.049587,273.66,0.0051,0.0001,0
-8.8581e-05,-7.7902e-09,0,-0.049528,273.66,0.0052,0.0001,0
-8.8575e-05,8.1923e-09,0,-0.04947,273.65,0.0053,0.0001,0
-8.8603e-05,2.7973e-08,0,-0.049411,273.65,0.0054,0.0001,0
-8.867e-05,5.1605e-08,0,-0.049352,273.65,0.0055,0.0001,0
-8.8785e-05,7.8891e-08,0,-0.049293,273.64,0.0056,0.0001,0
-8.8954e-05,1.094e-07,0,-0.049233,273.64,0.0057,0.0001,0
-8.9183e-05,1.425e-07,0,-0.049173,273.63,0.0058,0.0001,0
-8.9477e-05,1.7744e-07,0,-0.049112,273.63,0.0059,0.0001,0
-8.9837e-05,2.1336e-07,0,-0.049051,273.62,0.006,0.0001,0
-9.0267e-05,2.4944e-07,0,-0.048988,273.61,0.0061,0.0001,0
-9.0764e-05,2.8495e-07,0,-0.048925,273.61,0.0062,0.0001,0
-9.1329e-05,3.193e-07,0,-0.04886,273.6,0.0063,0.0001,0
-9.1959e-05,3.522e-07,0,-0.048795,273.6,0.0064,0.0001,0
-9.2652e-05,3.8364e-07,0,-0.048728,273.59,0.0065,0.0001,0
-9.3404e-05,4.1399e-07,0,-0.04866,273.58,0.0066,0.0001,0
-9.4216e-05,4.4401e-07,0,-0.048591,273.58,0.0067,0.0001,0
-9.5087e-05,4.7484e-07,0,-0.04852,273.57,0.0068,0.0001,0
-9.6021e-05,5.0795e-07,0,-0.048448,273.56,0.0069,0.0001,0
-9.7024e-05,5.451e-07,0,-0.048375,273.56,0.007,0.0001,0
-9.8104e-05,5.8816e-07,0,-0.0483,273.55,0.0071,0.0001,0
-9.9274e-05,6.3899e-07,0,-0.048224,273.54,0.0072,0.0001,0
-0.00010055,6.9919e-07,0,-0.048147,273.53,0.0073,0.0001,0
-0.00010195,7.6986e-07,0,-0.048067,273.53,0.0074,0.0001,0
-0.0001035,8.5126e-07,0,-0.047986,273.52,0.0075,0.0001,0
-0.0001052,9.4251e-07,0,-0.047902,273.51,0.0076,0.0001,0
-0.00010708,1.0411e-06,0,-0.047816,273.5,0.0077,0.0001,0
-0.00010915,1.1427e-06,0,-0.047727,273.49,0.0078,0.0001,0
-0.0001114,1.2405e-06,0,-0.047634,273.48,0.0079,0.0001,0
-0.00011381,1.3249e-06,0,-0.047537,273.47,0.008,0.0001,0
-0.00011634,1.3835e-06,0,-0.047435,273.46,0.0081,0.0001,0
-0.00011893,1.4004e-06,0,-0.047328,273.45,0.0082,0.0001,0
-0.00012148,1.3568e-06,0,-0.047214,273.44,0.0083,0.0001,0
-0.00012384,1.2307e-06,0,-0.047094,273.43,0.0084,0.0001,0
-0.00012583,9.9828e-07,0,-0.046966,273.42,0.0085,0.0001,0
-0.00012723,6.3455e-07,0,-0.046831,273.41,0.0086,0.0001,0
-0.00012776,1.1565e-07,0,-0.046689,273.4,0.0087,0.0001,0
-0.00012712,-5.7844e-07,0,-0.04654,273.38,0.0088,0.0001,0
-0.00012495,-1.4601e-06,0,-0.046385,273.37,0.0089,0.0001,0
-0.00012092,-2.5291e-06,0,-0.046227,273.35,0.009,0.0001,0
-0.00011469,-3.7662e-06,0,-0.046069,273.34,0.0091,0.0001,0
-0.00010601,-5.1258e-06,0,-0.045913,273.32,0.0092,0.0001,0
-9.4739e-05,-6.5264e-06,0,-0.045767,273.3,0.0093,0.0001,0
-8.0941e-05,-7.8401e-06,0,-0.045635,273.28,0.0094,0.0001,0
-6.4981e-05,-8.8795e-06,0,-0.045524,273.26,0.0095,0.0001,0
-4.7636e-05,-9.382e-06,0,-0.045442,273.24,0.0096,0.0001,0
-3.0239e-05,-8.993e-06,0,-0.045395,273.22,0.0097,0.0001,0
-1.4793e-05,-7.2765e-06,0,-0.045383,273.2,0.0098,0.0001,0
-3.9085e-06,-3.8884e-06,0,-0.045404,273.17,0.0099,0.0001,0
0,0,0,-0.04544,273.15,0.01,0.0001,0
0,0,0,-0.054042,275.15,0,0.0002,0
-2.8954e-05,6.7864e-05,0,-0.05428,274.89,0.0001,0.0002,0
-8.9198e-05,8.3679e-05,0,-0.054297,274.64,0.0002,0.0002,0
-0.0001543,7.3503e-05,0,-0.054153,274.42,0.0003,0.0002,0
-0.00021038,5.3709e-05,0,-0.05391,274.24,0.0004,0.0002,0
-0.000252,3.3283e-05,0,-0.053615,274.1,0.0005,0.0002,0
-0.00027891,1.6327e-05,0,-0.053305,274,0.0006,0.0002,0
-0.00029337,3.9726e-06,0,-0.053005,273.94,0.0007,0.0002,0
-0.00029844,-4.1486e-06,0,-0.052727,273.9,0.0008,0.0002,0
-0.00029704,-8.959e-06,0,-0.052478,273.87,0.0009,0.0002,0
-0.00029154,-1.1429e-05,0,-0.052257,273.85,0.001,0.0002,0
-0.00028369,-1.2366e-05,0,-0.052062,273.84,0.0011,0.0002,0
-0.0002747,-1.2362e-05,0,-0.051891,273.83,0.0012,0.0002,0
-0.00026536,-1.1823e-05,0,-0.051739,273.82,0.0013,0.0002,0
-0.00025616,-1.1011e-05,0,-0.051603,273.81,0.0014,0.0002,0
-0.0002474,-1.0085e-05,0,-0.051481,273.81,0.0015,0.0002,0
-0.00023921,-9.1412e-06,0,-0.05137,273.8,0.0016,0.0002,0
-0.00023167,-8.2328e-06,0,-0.051267,273.8,0.0017,0.0002,0
-0.00022478,-7.3872e-06,0,-0.051172,273.8,0.0018,0.0002,0
-0.00021852,-6.6162e-06,0,-0.051082,273.79,0.0019,0.0002,0
-0.00021285,-5.9226e-06,0,-0.050998,273.79,0.002,0.0002,0
-0.00020773,-5.3043e-06,0,-0.050917,273.78,0.0021,0.0002,0
-0.00020311,-4.756e-06,0,-0.050839,273.78,0.0022,0.0002,0
-0.00019894,-4.2712e-06,0,-0.050765,273.78,0.0023,0.0002,0
-0.00019517,-3.8428e-06,0,-0.050692,273.77,0.0024,0.0002,0
-0.00019176,-3.4637e-06,0,-0.050622,273.77,0.0025,0.0002,0
-0.00018868,-3.1271e-06,0,-0.050553,273.76,0.0026,0.0002,0
-0.00018589,-2.8266e-06,0,-0.050485,273.76,0.0027,0.0002,0
-0.00018337,-2.5562e-06,0,-0.050419,273.75,0.0028,0.0002,0
-0.00018109,-2.3108e-06,0,-0.050354,273.75,0.0029,0.0002,0
-0.00017903,-2.086e-06,0,-0.050291,273.75,0.003,0.0002,0
-0.00017717,-1.878e-06,0,-0.050228,273.74,0.0031,0.0002,0
-0.0001755,-1.684e-06,0,-0.050166,273.74,0.0032,0.0002,0
-0.00017402,-1.5019e-06,0,-0.050105,273.73,0.0033,0.0002,0
-0.0001727,-1.3303e-06,0,-0.050044,273.73,0.0034,0.0002,0
-0.00017154,-1.1687e-06,0,-0.049985,273.73,0.0035,0.0002,0
-0.00017053,-1.0173e-06,0,-0.049926,273.72,0.0036,0.0002,0
-0.00016966,-8.7656e-07,0,-0.049867,273.72,0.0037,0.0002,0
-0.00016892,-7.474e-07,0,-0.049809,273.72,0.0038,0.0002,0
-0.00016829,-6.3088e-07,0,-0.049752,273.71,0.0039,0.0002,0
-0.00016776,-5.2796e-07,0,-0.049695,273.71,0.004,0.0002,0
-0.00016733,-4.3934e-07,0,-0.049638,273.7,0.0041,0.0002,0
-0.00016697,-3.6524e-07,0,-0.049582,273.7,0.0042,0.0002,0
-0.00016668,-3.0531e-07,0,-0.049526,273.7,0.0043,0.0002,0
-0.00016643,-2.5853e-07,0,-0.049471,273.69,0.0044,0.0002,0
-0.00016622,-2.2316e-07,0,-0.049415,273.69,0.0045,0.0002,0
-0.00016604,-1.9678e-07,0,-0.04936,273.68,0.0046,0.0002,0
-0.00016587,-1.7646e-07,0,-0.049305,273.68,0.0047,0.0002,0
-0.00016572,-1.5882e-07,0,-0.04925,273.68,0.0048,0.0002,0
-0.00016558,-1.4032e-07,0,-0.049196,273.67,0.0049,0.0002,0
-0.00016546,-1.1744e-07,0,-0.049141,273.67,0.005,0.0002,0
-0.00016536,-8.6918e-08,0,-0.049087,273.66,0.0051,0.0002,0
-0.00016528,-4.5982e-08,0,-0.049033,273.66,0.0052,0.0002,0
-0.00016524,7.4624e-09,0,-0.048978,273.66,0.0053,0.0002,0
-0.00016525,7.4699e-08,0,-0.048924,273.65,0.0054,0.0002,0
-0.00016533,1.5611e-07,0,-0.04887,273.65,0.0055,0.0002,0
-0.00016547,2.5118e-07,0,-0.048815,273.64,0.0056,0.0002,0
-0.00016571,3.5854e-07,0,-0.04876,273.64,0.0057,0.0002,0
-0.00016604,4.7609e-07,0,-0.048704,273.63,0.0058,0.0002,0
-0.00016648,6.0121e-07,0,-0.048649,273.63,0.0059,0.0002,0
-0.00016704,7.3098e-07,0,-0.048592,273.62,0.006,0.0002,0
-0.00016771,8.6246e-07,0,-0.048535,273.62,0.0061,0.0002,0
-0.00016851,9.9302e-07,0,-0.048477,273.61,0.0062,0.0002,0
